post_id,title,category,score,num_comments,author,collected_at
47642552,Nandgame – Build a Computer from Scratch,sports,5,0,Vortigaunt,2026-04-06 10:57:59
47616157,Software never had a soul,worldnews,20,17,firloop,2026-04-06 10:58:01
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,worldnews,36,7,j0rg3,2026-04-06 10:58:05
47645926,The Spaceballs sequel will be released in April next year,science,8,1,WaitWaitWha,2026-04-06 10:58:08
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-06 10:58:22
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-06 10:58:26
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,14,10,bookmtn,2026-04-06 10:58:29
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",sports,25,14,arttaboi,2026-04-06 10:58:52
47633734,ENiGMA½ BBS Software,worldnews,10,1,NuSkooler,2026-04-06 10:59:16
47632901,Sandbox Strategy Game for AI,sports,6,0,Stefan_Golas,2026-04-06 10:59:24
47645696,Towards end-to-end automation of AI research,worldnews,6,0,hardmaru,2026-04-06 10:59:43
47602986,Show HN: Real-time dashboard for Claude Code agent teams,sports,76,28,simple10,2026-04-06 10:59:49
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,86,120,vrganj,2026-04-06 11:00:25
47624879,Switzerland hosts 'CERN of semiconductor research',science,34,6,teleforce,2026-04-06 11:00:53
